UUUUUUUUUUUUUUU, 1
UUUUUUUUUUUUUUD, 2
UUUUUUUUUUUUUDU, 3
UUUUUUUUUUUUUDD, 4
UUUUUUUUUUUUDUU, 4
UUUUUUUUUUUUDUD, 6
UUUUUUUUUUUUDDU, 8
UUUUUUUUUUUUDDD, 5
UUUUUUUUUUUDUUU, 6
UUUUUUUUUUUDUUD, 7
UUUUUUUUUUUDUDU, 12
UUUUUUUUUUUDUDD, 8
UUUUUUUUUUUDDUU, 7
UUUUUUUUUUUDDUD, 10
UUUUUUUUUUUDDDU, 11
UUUUUUUUUUUDDDD, 8
UUUUUUUUUUDUUUU, 6
UUUUUUUUUUDUUUD, 12
UUUUUUUUUUDUUDU, 17
UUUUUUUUUUDUUDD, 14
UUUUUUUUUUDUDUU, 15
UUUUUUUUUUDUDUD, 17
UUUUUUUUUUDUDDU, 14
UUUUUUUUUUDUDDD, 10
UUUUUUUUUUDDUUU, 7
UUUUUUUUUUDDUUD, 9
UUUUUUUUUUDDUDU, 17
UUUUUUUUUUDDUDD, 12
UUUUUUUUUUDDDUU, 10
UUUUUUUUUUDDDUD, 16
UUUUUUUUUUDDDDU, 20
UUUUUUUUUUDDDDD, 12
UUUUUUUUUDUUUUU, 4
UUUUUUUUUDUUUUD, 11
UUUUUUUUUDUUUDU, 21
UUUUUUUUUDUUUDD, 17
UUUUUUUUUDUUDUU, 18
UUUUUUUUUDUUDUD, 28
UUUUUUUUUDUUDDU, 25
UUUUUUUUUDUUDDD, 13
UUUUUUUUUDUDUUU, 15
UUUUUUUUUDUDUUD, 22
UUUUUUUUUDUDUDU, 29
UUUUUUUUUDUDUDD, 17
UUUUUUUUUDUDDUU, 14
UUUUUUUUUDUDDUD, 21
UUUUUUUUUDUDDDU, 22
UUUUUUUUUDUDDDD, 13
UUUUUUUUUDDUUUU, 11
UUUUUUUUUDDUUUD, 16
UUUUUUUUUDDUUDU, 22
UUUUUUUUUDDUUDD, 18
UUUUUUUUUDDUDUU, 22
UUUUUUUUUDDUDUD, 23
UUUUUUUUUDDUDDU, 22
UUUUUUUUUDDUDDD, 15
UUUUUUUUUDDDUUU, 15
UUUUUUUUUDDDUUD, 21
UUUUUUUUUDDDUDU, 32
UUUUUUUUUDDDUDD, 20
UUUUUUUUUDDDDUU, 20
UUUUUUUUUDDDDUD, 28
UUUUUUUUUDDDDDU, 31
UUUUUUUUUDDDDDD, 15
UUUUUUUUDUUUUUU, 4
UUUUUUUUDUUUUUD, 9
UUUUUUUUDUUUUDU, 14
UUUUUUUUDUUUUDD, 16
UUUUUUUUDUUUDUU, 16
UUUUUUUUDUUUDUD, 26
UUUUUUUUDUUUDDU, 30
UUUUUUUUDUUUDDD, 18
UUUUUUUUDUUDUUU, 15
UUUUUUUUDUUDUUD, 28
UUUUUUUUDUUDUDU, 46
UUUUUUUUDUUDUDD, 28
UUUUUUUUDUUDDUU, 20
UUUUUUUUDUUDDUD, 33
UUUUUUUUDUUDDDU, 34
UUUUUUUUDUUDDDD, 15
UUUUUUUUDUDUUUU, 18
UUUUUUUUDUDUUUD, 33
UUUUUUUUDUDUUDU, 49
UUUUUUUUDUDUUDD, 36
UUUUUUUUDUDUDUU, 39
UUUUUUUUDUDUDUD, 52
UUUUUUUUDUDUDDU, 41
UUUUUUUUDUDUDDD, 19
UUUUUUUUDUDDUUU, 18
UUUUUUUUDUDDUUD, 24
UUUUUUUUDUDDUDU, 36
UUUUUUUUDUDDUDD, 21
UUUUUUUUDUDDDUU, 20
UUUUUUUUDUDDDUD, 29
UUUUUUUUDUDDDDU, 31
UUUUUUUUDUDDDDD, 15
UUUUUUUUDDUUUUU, 8
UUUUUUUUDDUUUUD, 14
UUUUUUUUDDUUUDU, 22
UUUUUUUUDDUUUDD, 20
UUUUUUUUDDUUDUU, 25
UUUUUUUUDDUUDUD, 32
UUUUUUUUDDUUDDU, 32
UUUUUUUUDDUUDDD, 19
UUUUUUUUDDUDUUU, 26
UUUUUUUUDDUDUUD, 35
UUUUUUUUDDUDUDU, 49
UUUUUUUUDDUDUDD, 29
